CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00050,Female,0,Yes,No,48,Yes,No,No,Yes,No,No,No,No,No internet service,Two year,Yes,Electronic check,81.83,3956.9,1
CUST_00051,Female,0,Yes,Yes,5,Yes,Yes,No,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,50.57,255.92,1
CUST_00052,Male,0,Yes,No,13,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,55.13,700.53,1
CUST_00053,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.05,2546.01,1
CUST_00054,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),100.54,3267.56,1
CUST_00055,Male,1,Yes,No,11,Yes,No phone service,No,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.27,748.64,1
CUST_00056,Male,1,Yes,Yes,57,Yes,No,No,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,69.09,3933.85,1
CUST_00057,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No,No,Yes,No internet service,Month-to-month,No,Electronic check,79.59,1679.22,1
CUST_00058,Male,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.52,3886.89,1
CUST_00059,Female,0,No,No,2,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,92.61,141.59,1
CUST_00060,Female,1,No,No,17,No,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,20.49,367.18,1
CUST_00061,Female,0,No,Yes,22,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,68.3,1477.61,1
CUST_00062,Female,1,Yes,No,43,Yes,No,No,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),112.3,4807.57,1
CUST_00063,Male,0,No,No,29,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,81.59,2343.78,1
CUST_00064,Female,0,Yes,Yes,12,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.64,859.4,1
CUST_00065,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,97.2,3923.38,1
CUST_00066,Male,0,Yes,No,69,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),59.3,4117.52,1
CUST_00067,Female,0,Yes,No,10,Yes,No,No,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),66.72,679.18,1
CUST_00068,Male,0,Yes,No,18,No,No,No,No,No,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),39.52,708.82,1
CUST_00069,Male,0,No,No,34,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,32.42,1086.6,1
CUST_00070,Male,1,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,22.55,1189.63,1
CUST_00071,Female,0,No,Yes,10,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,93.15,916.1,1
CUST_00072,Male,0,No,No,17,Yes,No phone service,No,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,66.82,1120.22,1
CUST_00073,Male,0,No,No,17,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.94,1939.21,1
CUST_00074,Male,0,Yes,Yes,44,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),37.68,1718.11,0
CUST_00075,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,44.4,213.45,1
CUST_00076,Male,1,No,Yes,47,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No internet service,One year,No,Credit card (automatic),83.87,3959.41,1
CUST_00077,Male,0,Yes,No,31,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25.46,784.25,1
CUST_00078,Male,0,Yes,No,24,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.34,1680.44,1
CUST_00079,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),32.36,1952.88,1
CUST_00080,Female,0,No,Yes,59,Yes,Yes,DSL,No,Yes,No internet service,No,No,Yes,One year,Yes,Electronic check,36.14,2070.81,1
CUST_00081,Female,0,Yes,No,58,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,One year,No,Electronic check,71.21,4142.08,1
CUST_00082,Male,0,No,No,63,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,76.91,4800.9,1
CUST_00083,Male,0,Yes,No,17,Yes,Yes,DSL,No,No,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),41.2,735.97,1
CUST_00084,Female,1,Yes,No,61,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,47.12,2838.76,1
CUST_00085,Female,1,Yes,No,13,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,48.41,648.61,1
CUST_00086,Female,1,Yes,No,24,Yes,No,No,No internet service,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),34.18,800.16,1
CUST_00087,Male,0,No,No,40,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,116.57,4640.96,1
CUST_00088,Male,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),89.22,4696.68,1
CUST_00089,Female,1,No,Yes,42,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),31.08,1320.65,1
CUST_00090,Female,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,55.72,2253.85,1
CUST_00091,Male,0,No,No,27,Yes,Yes,DSL,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),37.26,994.98,1
CUST_00092,Female,0,No,No,43,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,43.44,1888.61,1
CUST_00093,Female,0,No,No,34,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,113.95,3874.74,1
CUST_00094,Male,0,No,No,34,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,One year,No,Credit card (automatic),33.68,1098.42,1
CUST_00095,Female,1,No,Yes,42,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,107.98,4548.41,1
CUST_00096,Male,0,Yes,No,43,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),104.18,4469.22,1
CUST_00097,Male,0,No,No,24,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.37,2173.38,1
CUST_00098,Female,0,No,No,10,No,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),69.67,683.02,1
CUST_00099,Female,0,Yes,No,22,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.84,949.21,1
CUST_00100,Male,0,Yes,No,30,Yes,No,DSL,No,No,No,No internet service,No internet service,No,Two year,No,Electronic check,103.1,3049.9,1
CUST_00101,Female,0,Yes,No,12,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Mailed check,103.41,1232.21,1
CUST_00102,Male,1,Yes,No,13,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,72.53,940.26,1
CUST_00103,Female,0,Yes,No,68,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,24.76,1654.45,0
CUST_00104,Male,0,Yes,No,20,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,39.3,804.46,1
CUST_00105,Female,1,No,Yes,53,Yes,No,Fiber optic,Yes,No,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),25.61,1353.32,1
CUST_00106,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,37.98,364.96,1
CUST_00107,Female,0,No,No,70,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,70.84,4960.32,1
CUST_00108,Female,0,Yes,No,16,No,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),105.42,1728.9,1
CUST_00109,Male,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,85.32,2313.7,1
CUST_00110,Female,0,Yes,No,56,Yes,No phone service,No,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,80.09,4530.52,1
CUST_00111,Male,0,Yes,No,15,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No,One year,Yes,Electronic check,94.8,1400.42,1
CUST_00112,Female,0,Yes,No,40,Yes,No,DSL,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,83.99,3332.34,1
CUST_00113,Female,0,No,No,56,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,64.34,3588.96,0
CUST_00114,Male,0,Yes,Yes,2,Yes,Yes,No,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,101.54,172.05,1
CUST_00115,Female,0,No,No,2,Yes,No,DSL,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,51.02,65.63,1
CUST_00116,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,112.81,6347.0,1
CUST_00117,Male,0,No,No,19,No,Yes,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,31.62,606.37,1
CUST_00118,Male,0,Yes,Yes,65,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),83.77,5377.93,1
CUST_00119,Male,0,No,No,66,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),70.05,4646.89,1
CUST_00120,Male,0,Yes,No,63,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Electronic check,62.58,3961.04,1
CUST_00121,Male,0,Yes,No,71,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),62.97,4418.91,1
CUST_00122,Female,1,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),24.22,1435.29,1
CUST_00123,Female,0,Yes,No,28,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),95.15,2685.92,1
CUST_00124,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,55.23,3865.18,1
CUST_00125,Female,1,No,Yes,25,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,67.66,1701.48,1
CUST_00126,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,104.76,4376.29,1
CUST_00127,Male,0,Yes,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,77.71,96.69,1
CUST_00128,Female,1,No,No,69,No,No,DSL,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),105.14,7221.98,1
CUST_00129,Female,0,Yes,Yes,43,Yes,No,DSL,No internet service,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),33.71,1486.01,1
CUST_00130,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Two year,No,Electronic check,48.18,3267.72,1
CUST_00131,Female,0,No,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),42.79,1091.02,1
CUST_00132,Female,0,No,No,23,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),108.63,2473.2,1
CUST_00133,Male,0,No,No,38,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.16,3760.67,1
CUST_00134,Female,1,Yes,No,62,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,Yes,Credit card (automatic),103.41,6386.11,1
CUST_00135,Female,1,No,Yes,39,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,76.87,3035.05,1
CUST_00136,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,42.07,2405.46,1
CUST_00137,Female,0,No,Yes,16,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),57.7,874.7,0
CUST_00138,Male,0,No,Yes,56,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,75.03,4202.59,1
CUST_00139,Male,1,No,No,53,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),21.9,1162.34,1
CUST_00140,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Two year,No,Credit card (automatic),83.96,5323.8,1
CUST_00141,Female,1,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),105.49,527.74,1
CUST_00142,Male,1,No,No,28,Yes,Yes,No,No internet service,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,52.56,1490.66,1
CUST_00143,Male,0,Yes,Yes,7,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),87.98,655.35,1
CUST_00144,Male,0,No,Yes,29,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,68.36,2020.39,1
CUST_00145,Female,1,No,No,54,Yes,No,DSL,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.4,1185.22,1
CUST_00146,Female,0,No,No,46,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,Two year,No,Mailed check,48.4,2226.42,0
CUST_00147,Male,0,Yes,No,54,Yes,No,No,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.79,3950.04,1
CUST_00148,Male,1,Yes,Yes,53,Yes,No,No,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),92.49,4880.75,1
CUST_00149,Female,0,Yes,No,71,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,60.2,4340.15,0
CUST_00150,Male,0,Yes,No,63,Yes,No,No,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,38.62,2401.88,0
CUST_00151,Female,0,Yes,Yes,42,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,26.1,1160.57,1
CUST_00152,Male,0,No,Yes,63,Yes,Yes,No,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),91.47,5822.49,0
CUST_00153,Female,1,No,Yes,4,Yes,No,No,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),56.5,198.53,1
CUST_00154,Male,0,No,No,52,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),84.71,4441.19,0
CUST_00155,Male,0,Yes,Yes,38,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,42.18,1618.83,1
CUST_00156,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,95.47,6477.54,1
CUST_00157,Male,1,No,No,36,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,54.44,1955.09,1
CUST_00158,Female,0,No,Yes,13,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,25.24,337.41,0
CUST_00159,Female,1,No,No,52,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No internet service,No,One year,No,Bank transfer (automatic),71.02,3705.66,1
CUST_00160,Female,0,No,Yes,68,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,No,Mailed check,93.14,6385.82,1
CUST_00161,Female,1,Yes,Yes,2,Yes,No phone service,DSL,No,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,113.25,246.49,1
CUST_00162,Female,1,Yes,No,5,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),117.09,558.5,1
CUST_00163,Male,1,No,No,47,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,65.64,3111.11,1
CUST_00164,Male,1,Yes,No,40,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.19,3186.43,1
CUST_00165,Male,0,Yes,No,39,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,75.72,2939.55,1
CUST_00166,Female,0,Yes,Yes,7,No,No,DSL,Yes,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,73.35,503.29,1
CUST_00167,Male,0,Yes,No,41,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,One year,No,Electronic check,31.45,1312.49,1
CUST_00168,Male,0,No,Yes,41,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,87.09,3632.67,1
CUST_00169,Male,1,No,No,61,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),116.53,7115.95,1
CUST_00170,Male,1,Yes,No,28,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),32.68,902.39,1
CUST_00171,Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,51.19,1255.31,1
CUST_00172,Male,0,No,No,6,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.7,195.43,1
CUST_00173,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,60.28,2464.66,1
